,0,1,2,3,4,5,6,7,8,9,10
0,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
1,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
2,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
3,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
4,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
5,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
6,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
7,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
8,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
9,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236,416108262365.6236
10,416108262365.6236,416108262365.6238,416108262365.6238,416108262365.6238,416108262365.6237,416108262365.6238,416108262365.6238,416108262365.6238,416108262365.6238,416108262365.6238,416108262365.6238
