,profit,scenario,ratio1,ratio2
0,294537480.96422285,9,1.3029570677684008,1.9943645136101884
1,278802194.2825691,10,1.3280890705769344,2.6400287020006927
2,273662061.6240329,11,1.3633772652528697,2.8633796794712487
3,274145428.9019677,12,1.3647635907492561,2.8698594790686873
4,255792642.71108788,13,1.3107785450003677,2.7290248085566455
5,265117542.57227424,14,1.2383442676461704,2.5397903448331096
6,272633247.5151267,15,1.2228225682435445,2.212809676168709
7,265455527.52745467,16,1.353056990785208,2.0875724043195794
8,254800546.3987323,17,1.408121132261357,2.079368696185146
9,253411763.17522764,18,1.375250074400753,2.0847894239100566
10,248974727.34755552,19,1.387001012829711,2.235403218073682
11,244417515.46159703,20,1.4484475636913414,2.2527224409894853
12,246477559.7216144,21,1.4396322287774241,2.1178152698277475
13,241424686.48864338,22,1.3997009070393907,2.1497618254512902
14,239953538.08838677,23,1.3681288803832388,2.330522387866988
15,244021665.28715405,24,1.3572593416979657,2.137284019315043
16,260349855.69575647,26,1.3900408685379897,2.1456282619407934
17,257549697.3189489,27,1.4119432105013743,2.1903579062980194
18,251863264.11846358,28,1.4609710599362444,2.3394298473471
19,250759895.26107758,29,1.48080180891536,2.3359137849264635
20,260003027.963403,30,1.501908129189661,2.382535490387766
21,261603360.91406852,31,1.5332862770605693,2.840769114807075
22,261419720.47934568,32,1.5363984900902354,2.7562346745590185
23,264146996.74160406,33,1.5242967127267133,2.6421402265729013
24,269064825.0375815,34,1.4867800346980633,2.57907887773832
25,281744512.11351734,35,1.5108849553936172,2.6346577515434775
26,283234890.2213992,36,1.498205837415978,2.5647417958789367
27,286043355.6393651,37,1.4917070046939696,2.415276847715021
28,294409382.8144108,38,1.4560107728587448,2.2157411369652458
29,300251674.8414115,39,1.4677718956412031,1.9947366050144486
30,299424366.13489753,54,1.343265476687305,1.9993553824006243
31,299566678.31919444,55,1.3500162521634864,1.9990567339295664
32,301511463.03344566,57,1.3183579693000878,2.004475264897252
33,303611161.4926472,58,1.2631613650122169,2.1119613399443447
34,309322686.93522775,59,1.2329105699741063,2.021088958466093
35,264749902.47812137,78,1.3896908483084238,2.178807614570587
36,264019211.1895807,79,1.387072697696532,2.2816940478891876
37,258964194.8328147,80,1.3918296080418928,2.4673746460926087
38,255257745.0261517,81,1.4270301033746755,2.5481115262833214
39,253198828.2582218,82,1.430662930744466,2.596788477743242
40,250400044.2284664,83,1.4279337224547943,2.7449191331039517
41,251059583.3633819,84,1.4350072644144667,2.683768892152958
42,250944338.86201954,85,1.414605561244189,2.762099837286293
43,250087884.81431895,86,1.3914394926010574,2.833569490907917
44,251717876.73381305,87,1.410506329555757,2.965650199992964
45,247869191.75818107,88,1.4201353853242178,3.148275121330556
46,246309119.9963607,89,1.441054063783788,3.111258299309147
47,244838836.07298172,90,1.4808729739629123,2.9384913340579044
48,247192582.5085376,91,1.5180281472896204,2.633597767797196
49,247816348.02199936,92,1.5215099020982086,2.4440608704561844
50,252284143.38016966,93,1.5175803238488497,2.258119959469969
51,253189153.59257355,94,1.523719956367294,2.0931885618549995
52,207212631.5702132,128,1.4207315705380046,2.4996021635218115
53,204105560.69096515,129,1.4564894176835947,2.52564303628175
54,201405224.30915913,130,1.4726838794862884,2.6173438816692767
55,204669691.55265355,131,1.410734616627559,2.4844374932196205
56,204786166.2540866,132,1.4317876853145652,2.3896569699530414
57,200883253.54311466,133,1.4545228498730465,2.5850006387842854
58,197162907.57634455,134,1.4637997123366369,2.6070996852525945
59,186730717.8117662,135,1.439500533321565,2.6966849526593855
60,187852736.55270216,136,1.447152799330027,2.61392592699397
61,187140244.9179797,137,1.4599418048555077,2.5862100228546425
62,189014996.74755356,138,1.4450771426737885,2.530246573131857
63,173503920.38939917,244,1.2535355982150578,2.481678172010852
64,178444061.07756507,247,1.2457907282478837,2.3552375551270086
65,193298373.58696586,248,1.2542235471800065,2.5868820703647324
66,195466859.46234763,249,1.244334298920962,2.521069339245588
67,201750069.11466637,250,1.228506782375673,2.215911358045988
68,221776060.83560765,264,1.0429283775058893,2.347317638488274
69,221704983.5719079,265,1.059107917686325,2.766973792171905
70,223936107.40468132,266,1.0726596223003235,2.9539231838998052
71,222451380.31735802,267,1.0630044256742928,3.3182214919090893
72,218822872.66679782,268,1.0544005770690725,3.973427137981499
73,211791789.49355492,269,1.035123849448485,4.394311583831654
74,209297069.42624703,270,1.0276407794429747,4.087417689123467
75,207029155.63662592,271,1.0151134492266638,4.860619901000841
76,210250061.00169614,272,1.038611356888306,3.8086171093831567
77,209693792.335472,273,1.0372207085561365,3.7958939957835276
78,202628849.7737238,274,1.1669587253633797,2.707402140458145
79,197643019.81314224,275,1.2659008092144621,2.4351480355442248
80,194706086.46834075,277,1.3210241196880848,2.370364305423472
81,208590645.8918069,278,1.3812721499774236,2.488777051598096
82,208401434.6099192,279,1.3207496541126655,3.0906132890707787
83,214327229.14163435,280,1.2380419215328016,3.185716813989574
84,217244411.71493343,281,1.2150165098305454,2.9496584788569944
85,231144040.80773133,282,1.230280492339396,2.853531107805647
86,245566710.9137178,283,1.2520648075535614,2.7317353665298043
87,244997409.98487967,284,1.2895226077832593,2.5991840022252153
88,240904451.8637961,285,1.3612316448981323,2.499831494643755
89,239200202.62495163,286,1.4129370421336251,2.4313405580341163
90,237208550.94771072,287,1.463387261452725,2.7582330392960976
91,231978535.55461136,288,1.472022514657887,3.1991338620131917
92,227557361.12175536,289,1.481870873207016,3.7059638183973465
93,223097427.15772817,290,1.5077095992710563,4.193597106216306
94,219600075.04837114,291,1.5506602945526884,5.5055333103109545
95,220338059.93198064,292,1.5681667467606926,5.5086539303436375
96,217843382.68366712,293,1.565916980250574,6.5469402843173
97,228580483.01913202,294,1.4945205951321532,4.445098254667268
98,243924337.8836182,295,1.3698739518315242,3.3417017067808157
99,241122520.07802033,296,1.3714456016571448,3.3877430589745776
100,262285988.69772866,297,1.3109951159581508,2.203741375919155
101,264662343.21118253,298,1.294064721601592,2.1420838117730754
102,267483842.0315643,299,1.2754550303791152,2.103591717269104
103,292726915.8890418,300,1.2807141445141608,2.34115928834751
104,293091778.12020016,301,1.281692416560657,2.3450075910386965
105,302023706.95459324,302,1.2651233990808317,2.0445917520487935
106,254939753.29972973,335,1.3431576461113237,2.0857070024496895
107,250838824.66903535,336,1.3699634999343058,2.201555235886488
108,249374256.31601343,337,1.3765706868324987,2.2670583806862825
109,247215377.9187515,338,1.3805222388676677,2.3261000192807875
110,226836166.52036527,339,1.2975540384602822,2.3210020216514082
111,228467143.6505262,340,1.2900925724155814,2.2802996563760134
112,227029830.6390388,341,1.2787716099954367,2.42767706356823
113,226120260.6935621,342,1.2416769710825906,2.7333968747758983
114,229220179.9005277,343,1.2431090072241795,2.75719966293217
115,234489243.21716034,344,1.2343607982506242,2.5926550070396917
116,235800813.73746994,345,1.2343163180316947,2.527857418780509
117,235942729.8616126,346,1.2512945276348453,2.427372494908858
118,236736790.97584823,347,1.2740127865552218,2.2610289063808064
119,231839682.66844574,348,1.258706570047601,2.4642519119503183
120,231721130.04995367,349,1.2655190599421933,2.4390378009873697
121,236357791.5072675,350,1.2450683079435911,2.264486504465116
