,profit,scenario,ratio1,ratio2
0,244241239.2838154,10,1.2313922945778826,2.21584054844513
1,239101106.62527916,11,1.2642544340613517,2.4000713991821
2,239584473.90321395,12,1.2656407595577381,2.4065511987795376
3,221231687.71233422,13,1.211972388973739,2.2502581303949745
4,227042405.91531485,31,1.4216546824715512,2.357521021379182
5,226858765.480592,32,1.4243432265779414,2.2847501994842703
6,229586041.7428504,33,1.4131774717019923,2.1921267559700266
7,234503870.0388278,34,1.3786484570541766,2.1467445530038662
8,247183557.1147636,35,1.4034402703389492,2.2159598588821905
9,248673935.22264543,36,1.3915816287590768,2.157620596383821
10,215839089.22971264,83,1.3208605899385855,2.252526722810301
11,216498628.36462823,84,1.3274518204905272,2.2019563001654894
12,216383383.86326575,85,1.308510386245408,2.2682930978344715
13,215526929.8155653,86,1.2868334028914852,2.327156199029472
14,217156921.73505935,87,1.3052185958025753,2.4430569647535285
15,213308236.75942734,88,1.3139336057251856,2.5890592880693686
16,211748164.997607,89,1.3331915010734083,2.553845360531655
17,210277881.07422805,90,1.36988061507357,2.404051942032657
18,173840479.61116552,279,1.2141563023790882,2.424482776836537
19,179766274.14288068,280,1.1381953174166612,2.5229957476472444
20,182683456.71617976,281,1.1168295738488274,2.338258270240386
21,196583085.80897766,282,1.1331197766883996,2.298274954263983
22,211005755.91496414,283,1.1554653173024116,2.230789247365537
23,202647595.94895706,287,1.3518022715749902,2.2337287494248383
24,197417580.55585763,288,1.3597978073934656,2.5895614116927397
25,192996406.12300164,289,1.3689448096922643,2.9987283217517917
26,188536472.1589745,290,1.3928188494919689,3.387556231439031
27,185039120.04961747,291,1.4333482301278178,4.457471936593167
28,185777104.93322694,292,1.449866311086617,4.463925021286025
29,183282427.68491346,293,1.4478206428049634,5.30706417338666
30,194019528.02037835,294,1.3817812216620813,3.6185137944291244
31,209363382.88486454,295,1.2665312991168052,2.7426727049811297
32,206561565.07926655,296,1.267606934620162,2.7738870720350866
