,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.005681818181818182,0.005681818181818182,0.001893939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.39015151515151514,0.3181818181818182,0.24053030303030304,0.14393939393939395,0.08333333333333333,0.03977272727272727,0.013257575757575758,0.011363636363636364,0.011363636363636364,0.005681818181818182,0.005681818181818182
5,0.6856060606060606,0.6117424242424242,0.553030303030303,0.4943181818181818,0.42992424242424243,0.36553030303030304,0.30113636363636365,0.1856060606060606,0.11931818181818182,0.08522727272727272,0.05303030303030303
6,0.8731060606060606,0.8428030303030303,0.7916666666666666,0.7329545454545454,0.6496212121212122,0.5643939393939394,0.4981060606060606,0.4337121212121212,0.3806818181818182,0.29734848484848486,0.21022727272727273
7,0.9696969696969697,0.9450757575757576,0.9090909090909091,0.8787878787878788,0.8465909090909091,0.7632575757575758,0.6818181818181818,0.5965909090909091,0.5189393939393939,0.4640151515151515,0.39015151515151514
8,1.0,0.9981060606060606,0.9848484848484849,0.9696969696969697,0.9261363636363636,0.8920454545454546,0.8522727272727273,0.7708333333333334,0.6685606060606061,0.5795454545454546,0.5037878787878788
9,1.0,1.0,1.0,1.0,0.9848484848484849,0.9753787878787878,0.9261363636363636,0.8901515151515151,0.8238636363636364,0.7178030303030303,0.6287878787878788
10,1.0,1.0,1.0,1.0,1.0,0.9981060606060606,0.9829545454545454,0.9564393939393939,0.9166666666666666,0.8428030303030303,0.740530303030303
