,profit,scenario,ratio1,ratio2
0,727845237.4636492,0,2.6940348469073427,5.045407563749354
1,726887505.4299805,1,2.697444334436522,4.9837936198443735
2,722792300.3422652,2,2.7059817504786103,5.241956875974519
3,722230389.5580444,3,2.6920240337423365,5.383149603920454
4,723532350.4601955,4,2.675597234648148,5.419330726409444
5,723018997.2760624,5,2.5926686031239026,5.722919323556434
6,726492450.1590822,6,2.5192691482781315,5.6458709479484614
7,729501438.2260381,7,2.4646602608953385,5.605816571474669
8,727943382.5350044,8,2.478124055199111,5.80503215343328
9,726549418.4486437,9,2.4894542028641657,5.973874880463864
10,710814131.76699,10,2.536798770565083,7.9423806214452375
11,705673999.1084539,11,2.602412655146844,8.654733183085614
12,706157366.3863885,12,2.60379898064323,8.661212982683054
13,687804580.1955088,13,2.5458554953332246,8.713608285577532
14,697129480.0566952,14,2.404645739954581,7.961795541316935
15,704645184.9995477,15,2.3747894088443697,6.912633629382461
16,697467465.0118755,16,2.6254398459473958,6.704202687036007
17,686812483.8831532,17,2.7454627329910672,6.890904895661185
18,685423700.6596487,18,2.688554298832556,6.935087459220711
19,680986664.8319765,19,2.712331620931577,7.4648586718468435
20,676429452.946018,20,2.8323920024751676,7.622089246034824
21,678489497.2060354,21,2.817747932514184,7.180182491146179
22,673436623.9730644,22,2.754240827696275,7.39046855652694
23,671965475.5728077,23,2.692824215358515,7.962390862857167
24,676033602.771575,24,2.672258405486598,7.2929451506175935
25,679862448.1367573,25,2.6377649094114175,6.942968085623035
26,692361793.1801775,26,2.6990451296146536,6.965190596003524
27,689561634.8033699,27,2.7420548625179473,7.148430794794546
28,683875201.6028847,28,2.836033652278756,7.697898334674319
29,682771832.7454985,29,2.8742696515015402,7.713471134225798
30,692014965.447824,30,2.8910261542095257,7.636598091141542
31,693615298.3984896,31,2.9286812094232944,8.881370282655725
32,693431657.9637666,32,2.937089283993909,8.649790612993367
33,696158934.2260251,33,2.9132872255357265,8.267308609108841
34,701076762.5220025,34,2.838424755246646,7.983257936918998
35,713756449.5979382,35,2.8539435185769646,7.868381409809558
36,715246827.7058203,36,2.8310084456272415,7.65375678956788
37,718055293.1237861,37,2.819498200509895,7.207186700341083
38,726421320.2988317,38,2.749089212384499,6.54640465630672
39,732263612.3258326,39,2.769772350994298,5.893505862694839
40,735346064.1418062,40,2.7638776811859054,5.458886583558974
41,741986352.4630668,41,2.769884107993904,4.935019862993027
42,744845614.8140073,42,2.7814872053435615,4.715088259689708
43,737043122.4847122,43,2.7905131463914223,4.834583088917771
44,722593419.0746405,44,2.7419255241562945,4.933527209619198
45,722448415.7051427,45,2.74148415724982,4.9323988682220445
46,727578585.1245568,46,2.624600673829731,4.874709919703152
47,727755401.9919822,47,2.5728752428472896,4.94671963609632
48,725425552.0033619,48,2.507854244256914,5.192708370807741
49,725225725.2670841,49,2.4933618061195264,5.34054047723167
50,723090070.1376933,50,2.515328292140607,5.398465917208298
