,profit,scenario,ratio1,ratio2
0,399516164.9754893,0,1.7167334517818351,2.4575528704477128
1,398558432.94182056,1,1.7174099458089587,2.421072196945975
2,394463227.8541051,2,1.7224232950264788,2.5435772972986403
3,393901317.0698846,3,1.714126099572019,2.616537093746661
4,395203277.97203565,4,1.704700613755418,2.640942748345591
5,394689924.7879024,5,1.651732928830865,2.8005944038376516
6,398163377.67092234,6,1.6048730764047714,2.7737633858756534
7,401172365.7378782,7,1.5704133732309822,2.7644513950553087
8,399614310.0468444,8,1.5798877107188143,2.8649372611823916
9,398220345.9604839,9,1.5877163801913845,2.9494470016550705
10,382485059.2788301,10,1.6181793985740902,3.9125931626673838
11,377344926.6202939,11,1.6607457588274237,4.2533045203386965
12,377828293.8982287,12,1.6621320843238099,4.259784319936135
13,359475507.7073489,13,1.6071970130802535,4.165324843041659
14,368800407.5685353,14,1.518256621000189,3.841071591989228
15,376316112.5113879,15,1.4992946099877427,3.34076742494001
16,369138392.52371573,16,1.658428876024133,3.1955636721715224
17,358483411.39499336,17,1.7290831164364877,3.234137384059396
18,357094628.17148876,18,1.6904430882643857,3.248860952384614
19,352657592.3438166,19,1.705080358774159,3.490472526979241
20,348100380.45785815,20,1.7805942289994598,3.5413704742003667
21,350160424.7178755,21,1.7703799976742465,3.332783402944171
22,345107551.48490447,22,1.7247904879970428,3.407531440909446
23,343636403.0846479,23,1.686055760777305,3.6821708218646307
24,347704530.28341514,24,1.6728591170072376,3.3746426908276552
25,351533375.6485974,25,1.6516840707398381,3.22172113074967
26,364032720.69201756,26,1.704201891196389,3.302323222115849
27,361232562.3152099,27,1.731170006985352,3.3802953995371863
28,355546129.11472464,28,1.7909860820984473,3.6254622843056326
29,354442760.25733864,29,1.8152340911360434,3.6265275487583035
30,363685892.959664,30,1.8352964551944286,3.643510514568672
31,365286225.91032964,31,1.8681810608276233,4.290513395090751
32,365102585.4756067,32,1.8725642806271172,4.170688099783264
33,367829861.7378652,33,1.8576544358008769,3.992180638381528
34,372747690.03384256,34,1.8111747676297234,3.876081851941683
35,385427377.10977834,35,1.8332190105576207,3.890751429527337
36,386917755.21766037,36,1.818078463386681,3.786105394364283
37,389726220.63562614,37,1.810376891689792,3.565335212345277
38,398092247.8106718,38,1.7663495983449258,3.2551003816071997
39,403934539.8376726,39,1.7802520049259463,2.9304412268577433
