,profit,scenario,ratio1,ratio2
0,717663920.9174284,0,2.400819655944623,4.26898555937601
1,716027155.8868523,1,2.401382320338411,4.209612147398094
2,711741286.582035,2,2.4082839757614827,4.425226979077155
3,711445952.619874,3,2.3968335273484858,4.548013625678858
4,713221043.245945,4,2.3839192449878492,4.584643899306414
5,712645571.081947,5,2.3098134963935437,4.844437882528177
6,716071057.2328293,6,2.244258536372069,4.782065773799523
7,719243249.1810824,7,2.196154155180611,4.752669740372524
8,718128593.2822466,8,2.209633121854559,4.926211310129821
9,717033454.8009593,9,2.2207373543163964,5.072598802407606
10,701428003.9905052,10,2.263414502290064,6.743102085293668
11,696624978.8181788,11,2.3231362086696934,7.3493720610592135
12,697345893.3402818,12,2.325203833493154,7.359036309847568
13,670462608.6232251,13,2.243762593871803,7.249812700918545
14,679888840.2496629,14,2.119648500139324,6.636875225300003
15,687348957.4812915,15,2.093146751789171,5.763580671239663
16,680573669.3613323,16,2.3155421190218415,5.579790152817182
17,667694021.706348,17,2.4128571443546263,5.694244424619936
18,665082846.3169332,18,2.3582109245954026,5.715062586664186
19,660510814.8286101,19,2.378549036434614,6.147827927818343
20,655969756.2695671,20,2.4838993570051415,6.270022797447091
21,657611544.7433792,21,2.469388793882797,5.9005207908459285
22,650160071.7131282,22,2.4043205356625235,6.03662907063573
23,648571540.10085,23,2.3502537822872345,6.505971736482056
24,652501569.4031216,24,2.331775103504372,5.958026690044855
25,656513394.4811606,25,2.30236859150685,5.677257935165689
26,675150188.4660721,26,2.3792650362089085,5.787807038753874
27,672268346.5672414,27,2.4168668955468435,5.936272672384049
28,666784396.463602,28,2.5005004916707168,6.390362315889485
29,665723019.8393683,29,2.5343808176461855,6.401799891743858
30,678898466.3202071,30,2.5648425156588273,6.402873364070561
31,684240403.601196,31,2.6131090189965023,7.515272629710315
32,683646454.0216959,32,2.618989095806541,7.3113501368595095
33,686485632.7779844,33,2.5982039840277285,6.9912766480169415
34,691948053.2115749,34,2.5335170345688316,6.764168412860645
35,709931205.3213559,35,2.5674603426142286,6.751993921703661
36,711239732.7223362,36,2.546151903238521,6.56609444081833
37,713909808.6086344,37,2.535287393633829,6.181488857198411
38,722817956.7589724,38,2.4739312470064267,5.624870025232
39,728939887.1371524,39,2.4935586195455923,5.066398928673564
