,0,1,2,3,4,5,6,7,8,9,10
0,341345538.08786166,342056181.68549085,342944486.1825272,344639517.9366952,346301203.2205327,347741330.4665249,347741330.466525,347741330.46652496,347741330.4665247,347741330.4665247,347741330.46652466
1,341345538.08786166,342056266.18693715,342944570.68397355,344640106.3764461,346301791.66028357,347741414.96797127,347741464.4242854,347741464.4242854,347741464.4242855,347741464.4242855,347741464.42428535
2,341345538.0878616,342056371.8137452,342944676.31078154,344640841.9261349,346302527.2099723,347741520.5947793,347741631.8714861,347741631.8714861,347741631.8714861,347741631.8714861,347741631.87148607
3,341345538.0878616,342056507.61964124,342944812.1166776,344641787.6328775,346303472.91671497,347741656.4006753,347741847.1607442,347741847.1607442,347741847.1607442,347741847.1607442,347741847.1607441
4,341345538.0878616,342056688.69416934,342944993.1912056,344643048.5752011,346304733.8590386,347741837.4752034,347742134.2130883,347742134.2130883,347742134.2130883,347742134.2130883,347742134.2130882
5,341345538.0878616,342056942.1985085,342945246.6955448,344644813.89445406,346306499.1782915,347742090.97954255,347742536.0863698,347742536.0863698,347742536.0863698,347742536.0863698,347742536.0863698
6,341345538.0878616,342057322.4550173,342945626.95205367,344647461.87333345,346309147.1571709,347742471.23605144,347743138.8962923,347743138.8962923,347743138.8962923,347743138.8962923,347743138.89629227
7,341345538.0878616,342057956.21586543,342946260.7129018,344648214.3318502,346313560.4553033,347743104.99689955,347744143.57949644,347744143.57949644,347744143.57949644,347744143.57949644,347744143.5794964
8,341345538.0878616,342058680.5303369,342946985.0273733,344648214.3318502,346318604.33851886,347743829.31137097,347745291.8148067,347745291.8148067,347746336.0234748,347746336.0234748,347745318.9883879
9,341345538.08786154,342058680.5303369,342946985.0273733,344648214.3318502,346318604.33851886,347743829.31137097,347764370.18736666,347767786.2778834,347767912.91378856,347767912.91378856,347792419.56470746
10,341345538.0878615,342058680.5303367,342946985.0273733,344648214.3318502,346318604.33851886,347791160.5254013,347993144.9074872,348110260.0785089,348110847.6991357,348110847.6991357,348110847.69913566
